word1           word2           human      Lin                  Resnik               Word2Vec            
monk            slave                 0.92        2.54310820194        2.33354524374       0.885525682468
coast           forest                3.15                 -0.0                 -0.0        2.91576123853
lad             wizard                0.92        2.55091466176        2.33354524374        2.02984759249
chord           smile                 0.54       0.555059125279       0.596229207898        1.00536108254
glass           magician              2.08       0.744784287683       0.801759114954       0.596159364513
noon            string                0.54                 -0.0                 -0.0     -0.0703905734762
rooster         voyage                0.62                 -0.0                 -0.0      -0.397667637202
money           dollar                8.42        3.07365961103        2.69110280536        4.43228929837
money           currency              9.04        8.63502335339         6.2549318819        3.66266305424
money           wealth                8.27       0.680458146287       0.596229207898        4.85667193585
money           property              7.57       0.798215308969       0.596229207898        3.93739404001
money           possession            7.29       0.705044279652       0.596229207898        2.41872851911
money           bank                   8.5                 -0.0                 -0.0        4.36305401152
money           deposit               7.73                 -0.0                 -0.0        3.62953542024
money           withdrawal            6.88       0.575616568717       0.596229207898        2.07135425239
money           laundering            5.65       0.583722620343       0.596229207898         4.7367627919
money           operation             3.31       0.725564385247       0.596229207898         2.8771621759
tiger           jaguar                 8.0        1.79453334682        2.22415047123        3.18607202593
tiger           feline                 8.0        2.12513441563        2.22415047123        1.52380998804
tiger           carnivore             7.08        2.20430709544        2.22415047123       0.352218136289
tiger           mammal                6.85        2.51682938471        2.22415047123        1.51994073888
tiger           animal                 7.0        2.58406002818        2.22415047123        3.23837608738
tiger           organism              4.77         3.0693758988        2.22415047123       0.241810566521
tiger           fauna                 5.62                 -0.0                 -0.0        1.24355890663
tiger           zoo                   5.87        1.25398819588        1.53183374322        3.43360331959
psychology      psychiatry            8.08        6.55229388382        7.18697097074        6.27150705458
psychology      anxiety                7.0       0.596057977151       0.596229207898        2.23508943576
psychology      fear                  6.85       0.657865633676       0.596229207898       0.761265463837
psychology      depression            7.42       0.593825140648       0.596229207898        1.68799500949
psychology      clinic                6.58       0.526927352782       0.596229207898        1.98261869523
psychology      doctor                6.42                 -0.0                 -0.0        2.68605921741
psychology      Freud                 8.21                 -0.0                 -0.0        3.39388566043
psychology      mind                  7.69        3.04017384195        2.64452085446         3.1606264913
psychology      health                7.23       0.600497988691       0.596229207898         2.3885362762
psychology      science               6.71        8.47459050574        7.18697097074        5.68446964075
psychology      discipline            5.58        7.27561791092        5.58877614988        2.80287853714
psychology      cognition             7.48        4.25890847491        2.64452085446        4.41212740922
planet          star                  8.45        8.74232079856        6.93190620321        3.73461032766
planet          constellation         8.06                 -0.0                 -0.0        3.27579082106
planet          moon                  8.08        7.80888236407        6.93190620321        4.96363495611
planet          sun                   8.02        8.10438201669        6.93190620321        3.78137617517
planet          galaxy                8.11                 -0.0                 -0.0        4.57163359799
planet          space                 7.92                 -0.0                 -0.0        4.19321873535
planet          astronomer            7.94        1.87390339844        1.53183374322        2.87087166862
precedent       example               5.85        8.17098452534        8.07703850752        3.04966970259
precedent       information           3.85       0.687722368418       0.596229207898        1.44066113293
precedent       cognition             2.81        3.68894848305        2.64452085446        0.48902494857
precedent       law                   6.65       0.594296515993       0.596229207898        3.73204549221
precedent       collection             2.5       0.712103602837       0.596229207898       0.841517023471
precedent       group                 1.77       0.819654541116       0.596229207898       0.172526944303
precedent       antecedent            6.04                 -0.0                 -0.0        1.75360907988
cup             coffee                6.58       0.783222888201       0.801759114954        2.30938057524
cup             tableware             6.85        8.40241448422        7.49018598561      -0.480643460453
cup             article                2.4        2.57058534047        2.30584873145       0.693242617981
cup             artifact              2.92         3.6472499562        2.30584873145       -1.07057743868
cup             object                3.69        2.21873269332        1.29002568096     0.00839641520023
cup             entity                2.15                 -0.0                 -0.0     0.00816833399092
cup             drink                 7.25                 -0.0                 -0.0        2.50110294596
cup             food                   5.0        1.02671720156       0.801759114954        1.07270224838
cup             substance             1.92        1.12730727342       0.801759114954       0.597092581709
cup             liquid                 5.9       0.955490193776       0.801759114954        1.72884934299
jaguar          cat                   7.42        8.03649819481        8.66348153769        2.02114662863
jaguar          car                   7.27        1.52337208298        1.53183374322        3.90164406174
energy          secretary             1.81        1.02187408414       0.801759114954         2.6088363163
secretary       senate                5.06                 -0.0                 -0.0        3.51175010352
energy          laboratory            5.09       0.934211225812       0.801759114954         2.5554757059
computer        laboratory            6.78        1.33779599856        1.29002568096        3.72061495249
weapon          secret                6.06                 -0.0                 -0.0        3.38132281227
FBI             fingerprint           6.94       0.513383988306       0.596229207898        3.04060710217
FBI             investigation         8.31       0.543689992335       0.596229207898        6.25563869703
investigation   effort                4.59        1.96618091519        1.59275486361        3.80686556277
Mars            water                 2.94       0.816992099131       0.801759114954        1.88070913614
Mars            scientist             5.63        1.76288374028        1.53183374322        2.78755099986
news            report                8.16        3.27322956129        2.61964384138        5.35013448218
canyon          landscape             7.53        1.13820096523        1.29002568096        1.87518321146
image           surface               4.56                 -0.0                 -0.0        2.28949817548
discovery       space                 6.34       0.753018778263       0.596229207898        4.56744347153
water           seepage               6.56       0.560225635157       0.596229207898        3.18244226809
sign            recess                2.38       0.526798861064       0.596229207898       0.921508923936
Wednesday       news                  2.22       0.658418782627       0.596229207898        5.29813043806
mile            kilometer             8.66        5.77690086675        6.06067996413        7.65914523479
computer        news                  4.47                 -0.0                 -0.0        2.29700182999
territory       surface               5.34        2.59988229559        1.29002568096        1.91560486841
atmosphere      landscape             3.69                 -0.0                 -0.0        2.72865009086
president       medal                  3.0                 -0.0                 -0.0        1.60650882557
war             troops                8.13       0.710533591396       0.596229207898        5.14225424215
record          number                6.31       0.844884886068       0.596229207898        3.36019198936
skin            eye                   6.22        4.90235566241        4.40224945514        4.88167531633
Japanese        American               6.5         6.9289473281        6.10342444391        4.02044192279
theater         history               3.91                 -0.0                 -0.0        2.82170960185
volunteer       motto                 2.56                 -0.0                 -0.0        2.21962105064
prejudice       recognition            3.0       0.551089924158       0.596229207898        1.37964307672
decoration      valor                 5.63                 -0.0                 -0.0        4.47827747335
century         year                  7.59        4.84138415803         3.8003723885        3.30331313688
century         nation                3.16       0.771877011273       0.596229207898        3.13950056049
delay           racism                1.19    1.1924584158e-299       0.596229207898       0.870716862166
delay           news                  3.31       0.720086418328       0.596229207898        2.01703891579
minister        party                 6.63                 -0.0                 -0.0        4.06752193217
peace           plan                  4.75       0.760432270944       0.596229207898        4.27336728725
minority        peace                 3.69       0.574498875717       0.596229207898        2.02804061579
attempt         peace                 4.25       0.767538352474       0.596229207898        2.92962095962
government      crisis                6.56        0.74352656735       0.596229207898         4.4429017509
deployment      departure             4.25         2.1155271371        2.33223775508        3.30396194876
deployment      withdrawal            5.88        1.71870733104        2.33223775508        5.54702768643
energy          crisis                5.94                 -0.0                 -0.0        3.41845632919
announcement    news                  7.56        4.20052002683        3.84781542124        4.76000870387
announcement    effort                2.75       0.727214164607       0.596229207898        3.23106106434
stroke          hospital              7.03                 -0.0                 -0.0        2.91530313052
disability      death                 5.47       0.645821229115       0.596229207898        2.47198353981
victim          emergency             6.47                 -0.0                 -0.0        2.01268177223
treatment       recovery              7.91        2.15643704364        2.03632771779        2.82476917319
journal         association           4.97       0.698350146037       0.596229207898        3.20410134963
doctor          personnel              5.0                 -0.0                 -0.0         1.6195933344
doctor          liability             5.19                 -0.0                 -0.0       0.754969525765
liability       insurance             7.03       0.519935265669       0.596229207898        5.34059294182
school          center                3.44                 -0.0                 -0.0        3.33310055971
reason          hypertension          2.31       0.575886026409       0.596229207898       0.766174463546
reason          criterion             5.91       0.886603805559       0.596229207898        1.76583774352

Mean Squared Errors
Lin method error: 20.87
Resnick method error: 20.74
Vector-based method error: 10.38
